record_number,record_type,business_name,address,expiration_date,status,notes,disciplinary_action,Unnamed: 8,program_type,license_category,license_class,source_file,home_delivery,latitude,longitude,geocode_status,geocode_precision,geocode_source
AU-G-C-001278,Class C Marihuana Grower - License,VERA Michigan,"6550 Nova PKWY, Whitmore Lake MI 48189",08/25/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.375402130361,-83.74569613661,success,address,arcgis
AU-G-C-001303,Class C Marihuana Grower - License,Superb Cannabis Co.,"4611 Liberty DR, Lake Orion MI 48359",06/27/2026,Active,,Public document available,,AU,Grower,C,AU - Class C Grower.csv,,42.71229945,-83.26875025000001,success,address,photon
AU-G-C-001302,Class C Marihuana Grower - License,Superb Cannabis Co.,"4611 Liberty DR, Lake Orion MI 48359",06/27/2026,Active,,Public document available,,AU,Grower,C,AU - Class C Grower.csv,,42.71229945,-83.26875025000001,success,address,photon
AU-G-C-001304,Class C Marihuana Grower - License,Select Tops,"3169 Alabaster RD, Tawas City MI 48763",08/08/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,44.2494671,-83.5811508,success,address,photon
AU-G-C-001285,Class C Marihuana Grower - License,"Prime Tree Farm, LLC","55880 72nd AVE, Lawrence MI 49064",07/07/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.15682707828343,-86.03155861334562,success,address,photon
AU-G-C-001284,Class C Marihuana Grower - License,"Prime Tree Farm, LLC","55880 72nd AVE, Lawrence MI 49064",07/07/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.15682707828343,-86.03155861334562,success,address,photon
AU-G-C-001267,Class C Marihuana Grower - License,"Cloud Industries, LLC","8700 Military ST, Detroit MI 48204",08/16/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.3576923,-83.1374529,success,address,nominatim
AU-G-C-001266,Class C Marihuana Grower - License,"Cloud Industries, LLC","8700 Military ST, Detroit MI 48204",08/16/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.3576923,-83.1374529,success,address,nominatim
AU-G-C-001300,Class C Marihuana Grower - License,Endo,"1060 Railroad AVE, Adrian MI 49221",11/03/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,41.8910596,-84.0204196,success,address,nominatim
AU-G-C-001299,Class C Marihuana Grower - License,Endo,"1060 Railroad AVE, Adrian MI 49221",11/03/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,41.8910596,-84.0204196,success,address,nominatim
AU-G-C-001297,Class C Marihuana Grower - License,Redfox Cannabis,"21445 Hoover RD Suite 216, Warren MI 48089",05/03/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.45434695,-83.00799494842346,success,address,photon
AU-G-C-001296,Class C Marihuana Grower - License,Redfox Cannabis,"21445 Hoover RD Suite 216, Warren MI 48089",05/03/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.45434695,-83.00799494842346,success,address,photon
AU-G-C-001275,Class C Marihuana Grower - License,Select Tops,"3169 Alabaster RD, Tawas City MI 48763",08/08/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,44.2494671,-83.5811508,success,address,photon
AU-G-C-001271,Class C Marihuana Grower - License,Northern Grow LLC,"4410 Turtle RD, Turner MI 48765",08/18/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.191311805303,-83.699824802422,success,address,arcgis
AU-G-C-001272,Class C Marihuana Grower - License,Northern Grow LLC,"4410 Turtle RD, Turner MI 48765",08/18/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.191311805303,-83.699824802422,success,address,arcgis
AU-G-C-001273,Class C Marihuana Grower - License,Northern Grow LLC,"4410 Turtle RD, Turner MI 48765",08/18/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.191311805303,-83.699824802422,success,address,arcgis
AU-G-C-001240,Class C Marihuana Grower - License,SFF LLC,"9234 E. 72nd ST Bldg, Reed City MI 49677",08/02/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,43.860047191316,-85.6178032633,success,address,arcgis
AU-G-C-001274,Class C Marihuana Grower - License,Twilight Organics,"808 Kresnak RD, Mancelona MI 49659",07/27/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,44.908918573013,-85.075150805095,success,address,arcgis
AU-G-C-001281,Class C Marihuana Grower - License,EZST Scientific,"25185 Easy ST, Warren MI 48089",07/26/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4806744,-82.9761023,success,address,nominatim
AU-G-C-001294,Class C Marihuana Grower - License,Pure Sun Grown LLC,"18850 Fox ST, Cassopolis MI 49031",07/26/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,41.91393880357935,-85.99219096660144,success,address,photon
AU-G-C-001264,Class C Marihuana Grower - License,"Paragon Growers, LLC","1008 Watkins RD, Battle Creek MI 49015",07/25/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.2703592,-85.2773663,success,address,nominatim
AU-G-C-001251,Class C Marihuana Grower - License,"Diamond Fields, LLC","56600 Shattuck RD, Vandalia MI 49095",08/26/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.97347217788,-85.910124817683,success,address,arcgis
AU-G-C-001269,Class C Marihuana Grower - License,"Biogold, LLC","711 White Oak ST, Decatur MI 49045",04/22/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.1037461,-85.971756,success,address,nominatim
AU-G-C-001282,Class C Marihuana Grower - License,Millie Montana Industries,"9684 Russell RD, Clare MI 48617",07/14/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,43.781260570409,-84.693173898707,success,address,arcgis
AU-G-C-001259,Class C Marihuana Grower - License,Tri State Wellness & Recreational,"7503 E Reading RD, Pittsford MI 49271",07/14/2024,License Void,,Public documents available,,AU,Grower,C,AU - Class C Grower.csv,,41.854448791077125,-84.48690426107618,success,address,photon
AU-G-C-001255,Class C Marihuana Grower - License,Sinse Green Acres LLC,"5089 E HARRISON RD, WALKERVILLE MI 49459",07/13/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,43.71386,-86.0868015,success,address,nominatim
AU-G-C-001268,Class C Marihuana Grower - License,Wolverine Real Estate & Development LLC,"788 Hubbard RD, Battle Creek MI 49017",07/11/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.34265466232416,-85.20030612848515,success,address,photon
AU-G-C-001216,Class C Marihuana Grower - License,"Forever Home Grown, LLC","10260 Harvest Park Suite B, C, D, Dimondale MI 48821",07/11/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.682221277003,-84.637095278426,success,address,arcgis
AU-G-C-001215,Class C Marihuana Grower - License,"Forever Home Grown, LLC","10260 Harvest Park Suite B, C, D, Dimondale MI 48821",07/11/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.682221277003,-84.637095278426,success,address,arcgis
AU-G-C-001214,Class C Marihuana Grower - License,"Forever Home Grown, LLC","10260 Harvest Park Suite B, C, D, Dimondale MI 48821",07/11/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.682221277003,-84.637095278426,success,address,arcgis
AU-G-C-001213,Class C Marihuana Grower - License,"Forever Home Grown, LLC","10260 Harvest Park Suite B, C, D, Dimondale MI 48821",07/11/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.682221277003,-84.637095278426,success,address,arcgis
AU-G-C-001212,Class C Marihuana Grower - License,"Forever Home Grown, LLC","10260 Harvest Park Suite B, C, D, Dimondale MI 48821",07/11/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.682221277003,-84.637095278426,success,address,arcgis
AU-G-C-001245,Class C Marihuana Grower - License,Sweet Cut Grow,"4120 S Sprinkle RD, Kalamazoo MI 49001",06/14/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.244927,-85.5567206,success,address,photon
AU-G-C-001265,Class C Marihuana Grower - License,"TZee, LLC","4661 W Dickman RD Suite B, Battle Creek MI 49037",06/15/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.31903567061586,-85.24112460498908,success,address,photon
AU-G-C-001226,Class C Marihuana Grower - License,HLS Partners LLC,"490 E Dresden ST, Kalkaska MI 49646",07/10/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.7355403,-85.1740468,success,address,nominatim
AU-G-C-001254,Class C Marihuana Grower - License,"Bessinger Holdings, LLC","1549 Bessinger RD, Turner MI 48765",06/30/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.0844691,-83.7444228,success,address,nominatim
AU-G-C-001246,Class C Marihuana Grower - License,Plant Nerd,"69348 40th ST, Paw Paw MI 49079",05/22/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.1668829,-85.9362687,success,address,nominatim
AU-G-C-001263,Class C Marihuana Grower - License,Grow Arlington,"52981 28th AVE, Bangor MI 49013",06/07/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.315285276768,-86.060591631597,success,address,arcgis
AU-G-C-001262,Class C Marihuana Grower - License,Grow Arlington,"52981 28th AVE, Bangor MI 49013",06/07/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.315285276768,-86.060591631597,success,address,arcgis
AU-G-C-001261,Class C Marihuana Grower - License,Grow Arlington,"52981 28th AVE, Bangor MI 49013",06/07/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.315285276768,-86.060591631597,success,address,arcgis
AU-G-C-001225,Class C Marihuana Grower - License,"Bud & Mary's Cannabis Co., LLC","2325 N Burdick ST, Kalamazoo MI 49007",07/20/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.3141031,-85.5839393,success,address,nominatim
AU-G-C-001217,Class C Marihuana Grower - License,Bloominati Farms LLC,"11766 Commerce ST, Warren MI 48089",06/29/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4743741,-83.0044411,success,address,nominatim
AU-G-C-001260,Class C Marihuana Grower - License,ROLLGANIC,"4414 Turtle RD Lot 1, Turner MI 48765",06/29/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,44.19138399148,-83.699547976116,success,address,arcgis
AU-G-C-001234,Class C Marihuana Grower - License,77 North Inc.,"4404 N. M-77 HWY, Germfask MI 49836",02/18/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,46.25417795,-85.92612660804595,success,address,photon
AU-G-C-001236,Class C Marihuana Grower - License,77 North Inc.,"4404 N. M-77 HWY, Germfask MI 49836",02/18/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,46.25417795,-85.92612660804595,success,address,photon
AU-G-C-001228,Class C Marihuana Grower - License,Superb Cannabis Co.,"4611 Liberty DR, Lake Orion MI 48359",06/27/2026,Active,,Public document available,,AU,Grower,C,AU - Class C Grower.csv,,42.71229945,-83.26875025000001,success,address,photon
AU-G-C-001258,Class C Marihuana Grower - License,Michigan Pure Pharms,"9286 N. Saginaw RD, Mt. Morris MI 48458",06/22/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,43.1174611,-83.6945604,success,address,photon
AU-G-C-001257,Class C Marihuana Grower - License,Michigan Pure Pharms,"9286 N. Saginaw RD, Mount Morris MI 48458",06/22/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,43.12323384998836,-83.69447079322778,success,address,photon
AU-G-C-001256,Class C Marihuana Grower - License,Michigan Pure Pharms,"9286 N Saginaw RD, Mount Morris MI 48458",06/22/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,43.12323384998836,-83.69447079322778,success,address,photon
AU-G-C-001252,Class C Marihuana Grower - License,Michigan Cultivation LLC,"5700 Alabaster RD, Turner MI 48765",08/27/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.206166190191,-83.751155856881,success,address,arcgis
AU-G-C-001253,Class C Marihuana Grower - License,Michigan Cultivation LLC,"5700 Alabaster RD, Turner MI 48765",08/27/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.206166190191,-83.751155856881,success,address,arcgis
AU-G-C-001248,Class C Marihuana Grower - License,Tree Dwellers,"104 W Park Drive, Kalkaska MI 49646",06/20/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,44.774346,-85.0328625,success,address,nominatim
AU-G-C-001209,Class C Marihuana Grower - License,Evolution Grow Company,"1060 River Road West, Battle Creek MI 49037",02/10/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.3387249,-85.2451694,success,address,nominatim
AU-G-C-001211,Class C Marihuana Grower - License,SM Lapeer,"207 S Saginaw ST, Lapeer MI 48446",06/16/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,43.0485116,-83.3042001,success,address,nominatim
AU-G-C-001210,Class C Marihuana Grower - License,SM Lapeer,"207 S Saginaw ST, Lapeer MI 48446",06/16/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,43.0485116,-83.3042001,success,address,nominatim
AU-G-C-001237,Class C Marihuana Grower - License,"TZee, LLC","4661 W Dickman RD Suite B, Battle Creek MI 49037",06/15/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.31903567061586,-85.24112460498908,success,address,photon
AU-G-C-001233,Class C Marihuana Grower - License,"HGZ Group, LLC","9147 N Chippewa RD, Coleman MI 48618",06/14/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,43.773825780383,-84.626966502809,success,address,arcgis
AU-G-C-001241,Class C Marihuana Grower - License,Wise Tree Farms LLC,"8751 N. Wise RD, Clare MI 48617",06/12/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,43.7938397,-84.6671958,success,address,photon
AU-G-C-001239,Class C Marihuana Grower - License,WELLHEAD PROVISIONS LLC,"18309 Fox TRL, Cassopolis MI 49031",07/19/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.926153980863,-85.924090730594,success,address,arcgis
AU-G-C-001247,Class C Marihuana Grower - License,Grow Arlington,"52981 28th AVE, Bangor MI 49013",06/07/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.315285276768,-86.060591631597,success,address,arcgis
AU-G-C-001235,Class C Marihuana Grower - License,Atomic Exotics Cannabis Co,"1141 Eden WAY Suite B, Chesaning MI 48616",06/24/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,43.190885201651,-84.103140972603,success,address,arcgis
AU-G-C-001183,Class C Marihuana Grower - License,3BarC INCORPORATED,"568 E Simpson RD, Mancelona MI 49659",06/01/2026,Active,,Public documents available,,AU,Grower,C,AU - Class C Grower.csv,,44.9240242,-85.0813537,success,address,nominatim
AU-G-C-001178,Class C Marihuana Grower - License,"Farming Management, LLC","1235 Center ST, Lansing MI 48906",05/31/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.7478291,-84.5481382,success,address,nominatim
AU-G-C-001168,Class C Marihuana Grower - License,Elkhorn Valley LLC,"402 S Oak ST, Buchanan MI 49107",05/24/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.8239532,-86.3612344,success,address,nominatim
AU-G-C-001227,Class C Marihuana Grower - License,Plant Nerd,"69348 40th ST, Paw Paw MI 49079",05/22/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.1668829,-85.9362687,success,address,nominatim
AU-G-C-001171,Class C Marihuana Grower - License,"Delta Farms, LLC","864 N 12th ST Suite 27, Niles MI 49120",05/22/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,41.836446845828,-86.248204273287,success,address,arcgis
AU-G-C-001202,Class C Marihuana Grower - License,QPS Michigan Holdings LLC,"1209 Tech DR, Webberville MI 48892",02/10/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.65729601153,-84.190422987654,success,address,arcgis
AU-G-C-001159,Class C Marihuana Grower - License,"Granny Farm, LLC","6121 Casmere ST, Detroit MI 48212",05/17/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4086528,-83.0400066,success,address,nominatim
AU-G-C-001169,Class C Marihuana Grower - License,DMM Grow,"1520 E Cavanaugh RD, Lansing MI 48910",05/16/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.6900568,-84.5323118,success,address,nominatim
AU-G-C-001224,Class C Marihuana Grower - License,DHARMA FARM,"55949 Huff RD, Marcellus MI 49067",04/04/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.984418910921,-85.842604062447,success,address,arcgis
AU-G-C-001223,Class C Marihuana Grower - License,DHARMA FARM,"55949 Huff RD, Marcellus MI 49067",04/04/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.984418910921,-85.842604062447,success,address,arcgis
AU-G-C-001222,Class C Marihuana Grower - License,HUFF CANNABIS,"55949 Huff RD, Marcellus MI 49067",04/04/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,41.984418910921,-85.842604062447,success,address,arcgis
AU-G-C-001221,Class C Marihuana Grower - License,DHARMA FARM,"55949 Huff RD, Marcellus MI 49067",04/04/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.984418910921,-85.842604062447,success,address,arcgis
AU-G-C-001220,Class C Marihuana Grower - License,"Wheelhouse Growers, LLC","19832 E. North Caribou Lake RD, DeTour MI 49725",01/08/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,46.0000412,-83.9486283,success,address,nominatim
AU-G-C-001182,Class C Marihuana Grower - License,Genetix Cannabis,"23364 Amber AVE, Warren MI 48089",05/11/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4663069,-82.9971512,success,address,nominatim
AU-G-C-001200,Class C Marihuana Grower - License,Alpine Grows LLC,"19380 Brenroy DR, Marshall MI 49068",05/08/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.277954124044,-84.91973841792,success,address,arcgis
AU-G-C-001201,Class C Marihuana Grower - License,Alpine Grows LLC,"19380 Brenroy DR, Marshall MI 49068",05/08/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.277954124044,-84.91973841792,success,address,arcgis
AU-G-C-001197,Class C Marihuana Grower - License,Real Leaf Solutions,"1707 Enterprise DR, Kalkaska MI 49646",11/18/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,44.7374712,-85.1659146,success,address,nominatim
AU-G-C-001176,Class C Marihuana Grower - License,Galenas Michigan LLC,"118 Alvord RD, Camden MI 49232",12/10/2023,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.7596622,-84.7580597,success,address,nominatim
AU-G-C-001175,Class C Marihuana Grower - License,Galenas Michigan LLC,"118 ALVORD RD, Camden MI 49232",12/10/2023,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.7596622,-84.7580597,success,address,nominatim
AU-G-C-001179,Class C Marihuana Grower - License,Smart Meds LLC,"731 E Kalamazoo ST, Lansing MI 48912",05/02/2026,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.7300015,-84.5415823,success,address,nominatim
AU-G-C-001170,Class C Marihuana Grower - License,"Nu Group, LLC","14500 Laplaisance RD Unit A20-A40, Monroe MI 48161",06/15/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,41.881185212117,-83.393591243491,success,address,arcgis
AU-G-C-001152,Class C Marihuana Grower - License,"Nu Group, LLC","14500 Laplaisance RD Unit A20-A40, Monroe MI 48161",06/15/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,41.881185212117,-83.393591243491,success,address,arcgis
AU-G-C-001173,Class C Marihuana Grower - License,Arjuna LLC,"3110 Turner ST Suite 3L, Lansing MI 48906",05/01/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.76471299248,-84.555628041064,success,address,arcgis
AU-G-C-001189,Class C Marihuana Grower - License,Hytek Cultivation,"12651 Stout ST, Detroit MI 48223",07/28/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.3799324,-83.2408655,success,address,nominatim
AU-G-C-001180,Class C Marihuana Grower - License,OTEAL2 LLC,"1401 N Johnson ST, Bay City MI 48708",04/28/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,43.604124,-83.871618,success,address,nominatim
AU-G-C-001174,Class C Marihuana Grower - License,"Precision Capital, LLC","10040 N Dort HWY, Clio MI 48420",10/14/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,43.17615309999999,-83.77475785014632,success,address,photon
AU-G-C-001156,Class C Marihuana Grower - License,"Jupiter Operations, LLC","6544 US HWY 131, Fife Lake MI 49633",04/27/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,44.535836542672406,-85.3797762034831,success,address,photon
AU-G-C-001188,Class C Marihuana Grower - License,100 Leafs,"845 Industrial DR, Allegan MI 49010",03/22/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.5445416,-85.8384631,success,address,nominatim
AU-G-C-001187,Class C Marihuana Grower - License,100 Leafs,"845 Industrial DR, Allegan MI 49010",03/22/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.5445416,-85.8384631,success,address,nominatim
AU-G-C-001190,Class C Marihuana Grower - License,"Lansing Pros, Inc.","22550 Nagel ST, Warren MI 48089",01/03/2027,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4573914,-83.002071,success,address,nominatim
AU-G-C-001191,Class C Marihuana Grower - License,"Lansing Pros, Inc","22550 Nagel ST, Warren MI 48089",01/03/2027,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4573914,-83.002071,success,address,nominatim
AU-G-C-001192,Class C Marihuana Grower - License,"Lansing Pros, Inc.","22550 Nagel ST, Warren MI 48089",01/03/2027,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4573914,-83.002071,success,address,nominatim
AU-G-C-001193,Class C Marihuana Grower - License,"Lansing Pros, Inc.","22550 Nagel ST, Warren MI 48089",01/03/2027,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4573914,-83.002071,success,address,nominatim
AU-G-C-001154,Class C Marihuana Grower - License,Elysium Cultivation,"24250 Mound RD, Warren MI 48091",12/17/2025,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.4717782,-83.0449351,success,address,nominatim
AU-G-C-001167,Class C Marihuana Grower - License,Bay Flower LLC,"303 S Water ST, Bay City MI 48708",04/20/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,43.58764,-83.892475,success,address,nominatim
AU-G-C-001158,Class C Marihuana Grower - License,"HMFM Holdings, LLC","1007 Industrial BLVD, Albion MI 49224",04/20/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.2521979,-84.7759234,success,address,nominatim
AU-G-C-001150,Class C Marihuana Grower - License,Potter's Farm,"1233 River Road West, Battle Creek MI 49037",04/18/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.3397635,-85.249125,success,address,nominatim
AU-G-C-001138,Class C Marihuana Grower - License,100 Leafs,"845 Industrial DR, Allegan MI 49010",03/22/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.5445416,-85.8384631,success,address,nominatim
AU-G-C-001149,Class C Marihuana Grower - License,Greensmith Cultivation,"2919 S Martin Luther King BLVD, Lansing MI 48910",04/05/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.7034439,-84.5672917,success,address,nominatim
AU-G-C-001145,Class C Marihuana Grower - License,True Health MI,"2101 W Willow ST, Lansing MI 48917",08/28/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.748257,-84.579451,success,address,nominatim
AU-G-C-001144,Class C Marihuana Grower - License,True Health MI,"2101 W Willow ST, Lansing MI 48917",08/28/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.748257,-84.579451,success,address,nominatim
AU-G-C-001161,Class C Marihuana Grower - License,DHARMA FARM,"55949 Huff RD, Marcellus MI 49067",04/04/2024,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,41.984418910921,-85.842604062447,success,address,arcgis
AU-G-C-001143,Class C Marihuana Grower - License,True Health MI,"2101 W Willow ST, Lansing MI 48917",08/28/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,42.748257,-84.579451,success,address,nominatim
AU-G-C-001142,Class C Marihuana Grower - License,True Health MI,"2101 W Willow ST, Lansing MI 48917",08/28/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.748257,-84.579451,success,address,nominatim
AU-G-C-001141,Class C Marihuana Grower - License,True Health MI,"2101 W Willow ST, Lansing MI 48917",08/28/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.748257,-84.579451,success,address,nominatim
AU-G-C-001148,Class C Marihuana Grower - License,MM AGRICULTURE LLC,"3306 N Martin Luther King Jr. BLVD, Lansing MI 48906",05/11/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.7666239,-84.5672446,success,address,nominatim
AU-G-C-001124,Class C Marihuana Grower - License,"Vasmed, LLC.","6838 Sheridan RD, Vassar Twp MI 48768",10/20/2024,License Void,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,43.3286658,-83.481519,success,address,nominatim
AU-G-C-001139,Class C Marihuana Grower - License,KRAVE CANNABIS CO. LLC,"43275 Irwin DR, Harrison Township MI 48045",11/18/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.6013473,-82.8518425,success,address,nominatim
AU-G-C-001157,Class C Marihuana Grower - License,Palmate Solutions LLC,"683 Sheridan ST, Jackson MI 49203",03/31/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.1033855,-84.243262,success,address,nominatim
AU-G-C-001163,Class C Marihuana Grower - License,"Biogold, LLC","711 White Oak ST, Decatur MI 49045",04/22/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.1037461,-85.971756,success,address,nominatim
AU-G-C-001119,Class C Marihuana Grower - License,H&F Enterprises LLC,"23455 Regency Park DR Suite B, Warren MI 48089",03/28/2025,License Void,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.467819192665,-82.993287976362,success,address,arcgis
AU-G-C-001125,Class C Marihuana Grower - License,Medcanna LLC,"2100 S Washington AVE Suite 2014, Lansing MI 48910",03/28/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.710143994871,-84.555671962237,success,address,arcgis
AU-G-C-001165,Class C Marihuana Grower - License,"Grasshopper Farms, Inc.","29003 County Road 665, Paw Paw MI 49079",05/20/2026,Active,,,,AU,Grower,C,AU - Class C Grower.csv,,42.1974647,-85.8917522,success,address,nominatim
AU-G-C-001162,Class C Marihuana Grower - License,"Terrapin Harvest Circle, LLC","9313 N. Dort HWY, Mt. Morris MI 48458",03/24/2025,License Void,,,,AU,Grower,C,AU - Class C Grower.csv,,43.14222980437,-83.688939671819,success,address,arcgis
AU-G-C-001126,Class C Marihuana Grower - License,"Bud & Mary's Cannabis Co., LLC","2325 N Burdick ST, Kalamazoo MI 49007",07/20/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,42.3141031,-85.5839393,success,address,nominatim
AU-G-C-001151,Class C Marihuana Grower - License,"Native Leaf, LLC","116 Enterprise DR, Reading MI 49274",03/20/2026,Active,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,41.8459059,-84.7470041,success,address,nominatim
AU-G-C-001164,Class C Marihuana Grower - License,"Native Leaf, LLC","116 Enterprise DR, Reading MI 49274",03/20/2025,License Void,,Public Documents Available,,AU,Grower,C,AU - Class C Grower.csv,,41.8459059,-84.7470041,success,address,nominatim
